date,home_team,away_team,rank_home,rank_away,home_score,away_score,result,rank_dif,rank_change_home,rank_change_away,home_goals_mean,home_goals_mean_l5,home_goals_suf_mean,home_goals_suf_mean_l5,home_rank_mean,home_rank_mean_l5,home_points_mean,home_points_mean_l5,away_goals_mean,away_goals_mean_l5,away_goals_suf_mean,away_goals_suf_mean_l5,away_rank_mean,away_rank_mean_l5,away_points_mean,away_points_mean_l5,home_game_points_mean,home_game_points_mean_l5,home_game_points_rank_mean,home_game_points_rank_mean_l5,away_game_points_mean,away_game_points_mean_l5,away_game_points_rank_mean,away_game_points_rank_mean_l5,is_friendly_0,is_friendly_1,total_games_away,total_games_home,home_weight_goals,away_weight_goals_suf,home_weight_goals_l5,away_weight_goals_suf_l5,home_weight_points,away_weight_points,away_weight_goals,home_weight_goals_suf,away_weight_goals_l5,home_weight_goals_suf_l5
2021-06-18,Argentina,Uruguay,8.0,9.0,1,0,0,-1.0,0.0,0.0,1.4285714285714286,1.4,0.8571428571428571,1.0,35.857142857142854,22.4,18.950000000000045,5.9500000000000455,1.1666666666666667,1.0,1.1666666666666667,1.2,26.5,28.4,-5.920000000000073,-5.920000000000073,1.8571428571428572,1.4,0.05891089330469029,0.06510025062656641,1.3333333333333333,1.0,0.08972922502334267,0.07238095238095238,True,False,5,6,-1.4285714285714286,-1.1666666666666667,-1.4,-1.2,-1.8571428571428572,-1.3333333333333333,-1.1666666666666667,-0.8571428571428571,-1.0,-1.0
2021-06-20,Venezuela,Ecuador,30.0,53.0,2,2,2,-23.0,0.0,0.0,0.375,0.6,1.5,1.4,22.25,25.0,-16.289999999999964,7.710000000000036,2.0,1.8,1.5,1.4,28.5,26.8,45.00999999999999,33.00999999999999,0.625,1.0,0.04428104575163398,0.07084967320261437,1.5,1.2,0.10949367088607595,0.06759493670886076,True,False,7,7,-8.625,-34.5,-13.799999999999999,-32.199999999999996,-14.375,-34.5,-46.0,-34.5,-41.4,-32.199999999999996
2021-06-20,Colombia,Peru,15.0,27.0,1,2,1,-12.0,0.0,0.0,1.5,1.4,1.625,1.6,28.375,35.6,-21.339999999999918,-30.339999999999918,0.8571428571428571,0.4,2.5714285714285716,2.4,19.857142857142858,19.2,-32.11999999999989,-21.11999999999989,1.5,1.6,0.06310896843013936,0.06520964360587003,0.5714285714285714,0.6,0.01165768194070081,0.011320754716981133,True,False,6,7,-18.0,-30.85714285714286,-16.799999999999997,-28.799999999999997,-18.0,-6.857142857142857,-10.285714285714285,-19.5,-4.800000000000001,-19.200000000000003
2021-06-21,Uruguay,Chile,9.0,19.0,1,1,2,-10.0,0.0,0.0,1.0,0.6,1.1428571428571428,0.6,23.857142857142858,17.2,-5.920000000000073,2.0799999999999272,1.3333333333333333,1.2,1.1111111111111112,0.8,36.111111111111114,51.4,-9.480000000000018,2.519999999999982,1.1428571428571428,1.0,0.07691076430572229,0.07238095238095238,1.4444444444444444,1.8,0.06248415551040962,0.0674714799187373,True,False,8,6,-10.0,-11.11111111111111,-6.0,-8.0,-11.428571428571427,-14.444444444444445,-13.333333333333332,-11.428571428571427,-12.0,-6.0
2021-06-21,Argentina,Paraguay,8.0,35.0,1,0,0,-27.0,0.0,0.0,1.375,1.4,0.75,0.8,32.5,17.2,18.950000000000045,5.9500000000000455,1.2857142857142858,1.2,1.1428571428571428,1.2,32.42857142857143,36.0,15.019999999999982,0.01999999999998181,2.0,1.8,0.09321369830827068,0.12605263157894736,1.4285714285714286,1.2,0.06446584592154213,0.057161275199249885,True,False,6,7,-37.125,-30.857142857142854,-37.8,-32.4,-54.0,-38.57142857142857,-34.714285714285715,-20.25,-32.4,-21.6
2021-06-23,Ecuador,Peru,53.0,27.0,2,2,2,26.0,0.0,0.0,2.0,1.0,1.5555555555555556,1.6,28.666666666666668,30.8,45.00999999999999,4.009999999999991,1.0,0.8,2.375,2.2,19.25,18.8,-32.11999999999989,-21.11999999999989,1.4444444444444444,0.8,0.10103141115799344,0.014261603375527426,0.875,1.2,0.03520047169811321,0.05132075471698113,True,False,7,8,52.0,61.75,26.0,57.2,37.55555555555556,22.75,26.0,40.44444444444444,20.8,41.6
2021-06-23,Brazil,Colombia,3.0,15.0,2,1,0,-12.0,0.0,0.0,2.875,2.6,0.25,0.0,34.625,30.4,30.65000000000009,17.65000000000009,1.4444444444444444,1.4,1.6666666666666667,0.8,28.22222222222222,29.0,-21.339999999999918,0.0,3.0,3.0,0.13318838656102808,0.15640011979634622,1.3333333333333333,1.6,0.05609686082679054,0.06520964360587003,True,False,8,7,-34.5,-20.0,-31.200000000000003,-9.600000000000001,-36.0,-16.0,-17.333333333333332,-3.0,-16.799999999999997,-0.0
2021-06-24,Bolivia,Uruguay,81.0,9.0,0,2,1,72.0,0.0,0.0,1.2,1.2,2.2,1.6,28.4,32.0,-23.8900000000001,-6.8900000000001,1.0,0.2,1.125,0.8,23.25,19.0,-5.920000000000073,2.0799999999999272,0.5,0.8,0.0181203007518797,0.030526315789473686,1.125,0.6,0.07387586613592806,0.022907268170426064,True,False,7,9,86.39999999999999,81.0,86.39999999999999,57.6,36.0,81.0,72.0,158.4,14.4,115.2
2021-06-24,Chile,Paraguay,19.0,35.0,0,2,1,-16.0,0.0,0.0,1.3,1.0,1.1,0.8,33.4,37.4,-9.480000000000018,0.0,1.125,1.0,1.125,1.2,29.375,36.0,15.019999999999982,0.01999999999998181,1.4,1.4,0.06734685107047976,0.08209876543209876,1.25,1.0,0.05640761518134936,0.032161275199249884,True,False,7,9,-20.8,-18.0,-16.0,-19.2,-22.4,-20.0,-18.0,-17.6,-16.0,-12.8
2021-06-27,Brazil,Ecuador,3.0,53.0,1,1,2,-50.0,0.0,0.0,2.7777777777777777,2.6,0.3333333333333333,0.2,32.44444444444444,32.0,30.65000000000009,0.0,2.0,1.0,1.6,1.8,28.5,20.4,45.00999999999999,0.0,3.0,3.0,0.1406118991653583,0.1106858340820605,1.4,0.4,0.0946319737458978,0.014074074074074072,True,False,9,8,-138.88888888888889,-80.0,-130.0,-90.0,-150.0,-70.0,-100.0,-16.666666666666664,-50.0,-10.0
