date,home_team,away_team,rank_home,rank_away,home_score,away_score,result,rank_dif,rank_change_home,rank_change_away,home_goals_mean,home_goals_mean_l5,home_goals_suf_mean,home_goals_suf_mean_l5,home_rank_mean,home_rank_mean_l5,home_points_mean,home_points_mean_l5,away_goals_mean,away_goals_mean_l5,away_goals_suf_mean,away_goals_suf_mean_l5,away_rank_mean,away_rank_mean_l5,away_points_mean,away_points_mean_l5,home_game_points_mean,home_game_points_mean_l5,home_game_points_rank_mean,home_game_points_rank_mean_l5,away_game_points_mean,away_game_points_mean_l5,away_game_points_rank_mean,away_game_points_rank_mean_l5,is_friendly_0,is_friendly_1
2021-06-08,Venezuela,Uruguay,30.0,9.0,0,0,2,21.0,0.0,0.0,0.6,0.6,1.8,1.8,30.2,30.2,-16.289999999999964,-16.289999999999964,1.4,1.4,1.4,1.4,25.8,25.8,-5.920000000000073,-5.920000000000073,0.6,0.6,0.03529411764705882,0.03529411764705882,1.4,1.4,0.10100840336134453,0.10100840336134453,True,False
2021-06-08,Paraguay,Brazil,35.0,3.0,0,2,1,32.0,0.0,0.0,1.2,1.2,1.0,1.0,28.6,28.6,15.019999999999982,15.019999999999982,2.8,2.8,0.4,0.4,37.0,37.0,30.65000000000009,30.65000000000009,1.4,1.4,0.08284477688275158,0.08284477688275158,3.0,3.0,0.15373633913256554,0.15373633913256554,True,False
2021-06-08,Chile,Bolivia,19.0,81.0,1,1,2,-62.0,0.0,0.0,1.5,1.6,1.3333333333333333,1.2,25.833333333333332,29.8,-9.480000000000018,-9.480000000000018,1.4285714285714286,1.8,2.4285714285714284,2.0,30.142857142857142,39.8,-23.8900000000001,-13.8900000000001,1.3333333333333333,1.6,0.06466244725738396,0.07759493670886075,0.5714285714285714,0.8,0.018367346938775512,0.025714285714285717,True,False
2021-06-13,Brazil,Venezuela,3.0,30.0,3,0,0,-27.0,0.0,0.0,2.6666666666666665,2.2,0.3333333333333333,0.4,36.666666666666664,29.0,30.65000000000009,30.65000000000009,0.5,0.6,1.5,1.2,26.666666666666668,30.0,-16.289999999999964,-16.289999999999964,3.0,3.0,0.1423993302295189,0.16287919627542266,0.6666666666666666,0.8,0.04793028322440087,0.05751633986928104,True,False
2021-06-13,Colombia,Ecuador,15.0,53.0,1,0,0,-38.0,0.0,0.0,1.8333333333333333,1.6,2.1666666666666665,2.6,24.0,23.8,-21.339999999999918,-21.339999999999918,2.2857142857142856,2.4,1.5714285714285714,1.6,30.428571428571427,39.6,45.00999999999999,33.00999999999999,1.3333333333333333,1.0,0.06915577342047931,0.05898692810457516,1.7142857142857142,1.8,0.1251356238698011,0.07518987341772151,True,False
2021-06-14,Argentina,Chile,8.0,19.0,1,1,2,-11.0,0.0,0.0,1.5,1.6,0.8333333333333334,1.0,38.666666666666664,33.6,18.950000000000045,18.950000000000045,1.4285714285714286,1.4,1.2857142857142858,1.0,33.714285714285715,44.0,-9.480000000000018,-0.4800000000000182,2.0,1.8,0.05995744569757727,0.06257393483709273,1.2857142857142858,1.6,0.0571886232223785,0.060064072511329905,True,False
2021-06-14,Paraguay,Bolivia,35.0,81.0,3,1,0,-46.0,0.0,0.0,1.0,0.8,1.1666666666666667,1.0,24.333333333333332,24.8,15.019999999999982,15.019999999999982,1.375,1.6,2.25,1.6,28.75,31.6,-23.8900000000001,-13.8900000000001,1.1666666666666667,1.2,0.06903731406895965,0.07375386779184248,0.625,1.0,0.022650375939849626,0.0362406015037594,True,False
2021-06-17,Colombia,Venezuela,15.0,30.0,0,0,2,-15.0,0.0,0.0,1.7142857142857142,1.4,1.8571428571428572,2.2,28.142857142857142,31.0,-21.339999999999918,-30.339999999999918,0.42857142857142855,0.6,1.7142857142857142,1.6,23.285714285714285,22.6,-16.289999999999964,7.710000000000036,1.5714285714285714,1.4,0.06736263058682593,0.05854297693920335,0.5714285714285714,0.8,0.04108309990662932,0.05751633986928104,True,False
2021-06-17,Brazil,Peru,3.0,27.0,4,0,0,-24.0,0.0,0.0,2.7142857142857144,2.0,0.2857142857142857,0.0,35.714285714285715,30.6,30.65000000000009,17.65000000000009,1.0,0.8,2.3333333333333335,2.4,22.666666666666668,19.2,-32.11999999999989,-32.11999999999989,3.0,3.0,0.13634228305387336,0.15560646900269542,0.6666666666666666,0.6,0.013600628930817612,0.011320754716981133,True,False
2021-06-18,Chile,Bolivia,19.0,81.0,1,0,0,-62.0,0.0,0.0,1.375,1.2,1.25,1.2,30.5,40.8,-9.480000000000018,-0.4800000000000182,1.3333333333333333,1.4,2.3333333333333335,1.8,29.444444444444443,31.6,-23.8900000000001,-6.8900000000001,1.25,1.2,0.06566504531958119,0.06006407251132989,0.5555555555555556,0.8,0.020133667502088556,0.030526315789473686,True,False
2021-06-18,Argentina,Uruguay,8.0,9.0,1,0,0,-1.0,0.0,0.0,1.4285714285714286,1.4,0.8571428571428571,1.0,35.857142857142854,22.4,18.950000000000045,5.9500000000000455,1.1666666666666667,1.0,1.1666666666666667,1.2,26.5,28.4,-5.920000000000073,-5.920000000000073,1.8571428571428572,1.4,0.05891089330469029,0.06510025062656641,1.3333333333333333,1.0,0.08972922502334267,0.07238095238095238,True,False
2021-06-20,Venezuela,Ecuador,30.0,53.0,2,2,2,-23.0,0.0,0.0,0.375,0.6,1.5,1.4,22.25,25.0,-16.289999999999964,7.710000000000036,2.0,1.8,1.5,1.4,28.5,26.8,45.00999999999999,33.00999999999999,0.625,1.0,0.04428104575163398,0.07084967320261437,1.5,1.2,0.10949367088607595,0.06759493670886076,True,False
2021-06-20,Colombia,Peru,15.0,27.0,1,2,1,-12.0,0.0,0.0,1.5,1.4,1.625,1.6,28.375,35.6,-21.339999999999918,-30.339999999999918,0.8571428571428571,0.4,2.5714285714285716,2.4,19.857142857142858,19.2,-32.11999999999989,-21.11999999999989,1.5,1.6,0.06310896843013936,0.06520964360587003,0.5714285714285714,0.6,0.01165768194070081,0.011320754716981133,True,False
2021-06-21,Uruguay,Chile,9.0,19.0,1,1,2,-10.0,0.0,0.0,1.0,0.6,1.1428571428571428,0.6,23.857142857142858,17.2,-5.920000000000073,2.0799999999999272,1.3333333333333333,1.2,1.1111111111111112,0.8,36.111111111111114,51.4,-9.480000000000018,2.519999999999982,1.1428571428571428,1.0,0.07691076430572229,0.07238095238095238,1.4444444444444444,1.8,0.06248415551040962,0.0674714799187373,True,False
2021-06-21,Argentina,Paraguay,8.0,35.0,1,0,0,-27.0,0.0,0.0,1.375,1.4,0.75,0.8,32.5,17.2,18.950000000000045,5.9500000000000455,1.2857142857142858,1.2,1.1428571428571428,1.2,32.42857142857143,36.0,15.019999999999982,0.01999999999998181,2.0,1.8,0.09321369830827068,0.12605263157894736,1.4285714285714286,1.2,0.06446584592154213,0.057161275199249885,True,False
2021-06-23,Ecuador,Peru,53.0,27.0,2,2,2,26.0,0.0,0.0,2.0,1.0,1.5555555555555556,1.6,28.666666666666668,30.8,45.00999999999999,4.009999999999991,1.0,0.8,2.375,2.2,19.25,18.8,-32.11999999999989,-21.11999999999989,1.4444444444444444,0.8,0.10103141115799344,0.014261603375527426,0.875,1.2,0.03520047169811321,0.05132075471698113,True,False
2021-06-23,Brazil,Colombia,3.0,15.0,2,1,0,-12.0,0.0,0.0,2.875,2.6,0.25,0.0,34.625,30.4,30.65000000000009,17.65000000000009,1.4444444444444444,1.4,1.6666666666666667,0.8,28.22222222222222,29.0,-21.339999999999918,0.0,3.0,3.0,0.13318838656102808,0.15640011979634622,1.3333333333333333,1.6,0.05609686082679054,0.06520964360587003,True,False
2021-06-24,Bolivia,Uruguay,81.0,9.0,0,2,1,72.0,0.0,0.0,1.2,1.2,2.2,1.6,28.4,32.0,-23.8900000000001,-6.8900000000001,1.0,0.2,1.125,0.8,23.25,19.0,-5.920000000000073,2.0799999999999272,0.5,0.8,0.0181203007518797,0.030526315789473686,1.125,0.6,0.07387586613592806,0.022907268170426064,True,False
2021-06-24,Chile,Paraguay,19.0,35.0,0,2,1,-16.0,0.0,0.0,1.3,1.0,1.1,0.8,33.4,37.4,-9.480000000000018,0.0,1.125,1.0,1.125,1.2,29.375,36.0,15.019999999999982,0.01999999999998181,1.4,1.4,0.06734685107047976,0.08209876543209876,1.25,1.0,0.05640761518134936,0.032161275199249884,True,False
2021-06-27,Brazil,Ecuador,3.0,53.0,1,1,2,-50.0,0.0,0.0,2.7777777777777777,2.6,0.3333333333333333,0.2,32.44444444444444,32.0,30.65000000000009,0.0,2.0,1.0,1.6,1.8,28.5,20.4,45.00999999999999,0.0,3.0,3.0,0.1406118991653583,0.1106858340820605,1.4,0.4,0.0946319737458978,0.014074074074074072,True,False
2021-06-27,Venezuela,Peru,30.0,27.0,0,1,1,3.0,0.0,0.0,0.5555555555555556,0.6,1.5555555555555556,1.6,25.666666666666668,32.2,-16.289999999999964,0.0,1.1111111111111112,1.2,2.3333333333333335,2.2,23.0,27.8,-32.11999999999989,0.0,0.6666666666666666,0.6,0.041457365615708196,0.039329140461215925,0.8888888888888888,1.4,0.03338574423480084,0.05509433962264151,True,False
2021-06-28,Argentina,Bolivia,8.0,81.0,4,1,0,-73.0,0.0,0.0,1.3333333333333333,1.2,0.6666666666666666,0.8,32.77777777777778,19.4,18.950000000000045,0.0,1.0909090909090908,1.0,2.1818181818181817,1.6,26.636363636363637,22.4,-23.8900000000001,0.0,2.111111111111111,1.8,0.09238043024227234,0.11819548872180449,0.45454545454545453,0.8,0.016473000683527,0.030526315789473686,True,False
2021-06-28,Uruguay,Paraguay,9.0,35.0,1,0,0,-26.0,0.0,0.0,1.1111111111111112,0.6,1.0,0.4,29.666666666666668,34.6,-5.920000000000073,0.0,1.2222222222222223,1.0,1.0,0.8,28.22222222222222,24.0,15.019999999999982,0.0,1.3333333333333333,1.2,0.06978266290271794,0.03031467557783347,1.4444444444444444,1.4,0.06768396203254445,0.06120857699805068,True,False
2021-06-30,Mexico,Panama,11.0,78.0,3,0,0,-67.0,0.0,0.0,0.5,0.5,0.0,0.0,50.0,50.0,-2.4400000000000546,-2.4400000000000546,1.0,1.0,0.0,0.0,46.0,46.0,0.0,0.0,2.0,2.0,0.04,0.04,3.0,3.0,0.06521739130434782,0.06521739130434782,False,True
